File Date,11/30/2017
NPA_ID,type_of_code,        ASSIGNABLE,EXPLANATION,RESERVED,ASSIGNED,ASSIGNMENT_DT,USE,LOCATION,COUNTRY,IN_SERVICE,IN_SERVICE_DT,STATUS,PLANNING_LETTERS,"NOTES",OVERLAY,OVERLAY_COMPLEX,PARENT_NPA_ID,SERVICE,TIME_ZONE,AREA_SERVED,MAP,IN_JEOPARDY,RELIEF_PLANNING_IN_PROGRESS,HOME_NPA_LOCAL_CALLS,HOME_NPA_TOLL_CALLS,FOREIGN_NPA_LOCAL_CALLS,FOREIGN_NPA_TOLL_CALLS,PERM_HNPA_LOCAL_CALLS,PERM_HNPA_TOLL_CALLS,PERM_HNPA_FOREIGN_LOCAL_CALLS,"DIALING_PLAN_NOTES"
301,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,MD,US,Y,01-JAN-47,,IL96/06-009,"",Yes,240/227/301,,,E,,IL96/06-009,No,No,10D,1+10D,10D,1+10D,1+10D,NA,1+10D,""
302,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,DE,US,Y,01-JAN-47,,,"",No,,,,E,,,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
303,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,CO,US,Y,01-JAN-47,,,"",Yes,303/720,,,M,,,No,No,10D,1+10D,10D,1+10D,1+10D,NA,1+10D,""
304,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,WV,US,Y,01-JAN-47,,375,"",Yes,304/681,,,E,,375,No,No,10D,1+10D,10D,1+10D,1+10D,NA,1+10D,""
305,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,FL,US,Y,01-JAN-47,,468  287,"",Yes,305/786,,,E,,468,No,No,10D,1+10D,10D,1+10D,NA,NA,NA,""
306,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,SASKATCHEWAN,CANADA,Y,01-JAN-47,,447 446 439 431,"",Yes,306/639,,,C,,431,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
307,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,WY,US,Y,01-JAN-47,,,"",No,,,,M,,,No,No,7D,1+10D,7D,1+10D,NA,NA,NA,""
308,General Purpose Code,Yes,,No,Yes,01-JAN-55,G,NE,US,Y,01-JAN-55,,,"",No,,,,CM,,,No,No,7D,1+10D,7D,1+10D,10D,NA,10D,""
309,General Purpose Code,Yes,,No,Yes,01-JAN-57,G,IL,US,Y,01-JAN-57,,,"",No,,,,C,,,No,No,7D,1+10D,1+10D,1+10D,NA,NA,NA,""
310,General Purpose Code,Yes,,No,Yes,31-AUG-90,G,CA,US,Y,02-NOV-91,,347 250 IL90/08-055,"",Yes,310/424,213,,P,,347,No,No,1+10D,1+10D,1+10D,1+10D,NA,NA,NA,""
311,Easily Recognizable Code,No,N11 Code,No,No,,,,,N,,,,"",,,,,,,,,No,,,,,,,,""
312,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,IL,US,Y,01-JAN-47,Active,392 390 195,"",Yes,312/872,,,C,,,No,Yes,1+10D,1+10D,1+10D,1+10D,NA,NA,NA,""
313,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,MI,US,Y,01-JAN-47,Active,,"",Yes,313/679,,,E,,,No,Yes,7D,1+10D,10D,1+10D,10D,NA,NA,""
314,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,MO,US,Y,01-JAN-47,Suspended,303 279 261,"",Yes,314/557,,,C,,,No,Yes,7D,1+10D,10D,1+10D,NA,NA,NA,""
315,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,NY,US,Y,01-JAN-47,,485,"",Yes,315/680,,,E,,485,No,No,10D,10D,1+10D,1+10D,1+10D,1+10D,NA,""
316,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,KS,US,Y,01-JAN-47,,245,"",No,,,,C,,245,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
317,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,IN,US,Y,01-JAN-47,,496 482,"",Yes,317/463,,,E,,496,No,No,10D,1+10D,10D,1+10D,1+10D,NA,1+10D,""
